month,year,day,lat,long
10,2008,18,47.47083,0.97667
10,2008,19,-6.95,108.1
10,2008,20,32.1025,-81.87278
10,2008,20,44.9,-90.28333
10,2008,20,-33.13333,19.38333
10,2008,20,43.76111,-84.50778
10,2008,20,42.53333,12.61667
10,2008,21,-19.85,-47.55
10,2008,22,21.16667,-100.86667
10,2008,22,10.2,76.26667
10,2008,23,35.95,-97.58333
10,2009,12,-27.7,27.3
10,2009,12,35.63333,-78.13333
10,2009,16,54.61667,-6.21667
10,2009,19,36.83333,-84.35
10,2009,20,38.4,-84.25
10,2009,20,35.61667,8.83333
10,2009,21,26.91667,83.96667
10,2009,23,-28.2,24.56667
10,2009,23,34.4,-87.06667
10,2010,01,49.86667,8.65
10,2010,02,41.98444,59.685
10,2010,03,-1.87089,-79.95756
10,2010,08,43,-80
10,2010,12,40.25,-74
10,2010,13,28.56667,77.25
10,2010,15,51.46667,84.76667
10,2010,16,39.7825,-104.93056
10,2010,17,26.68333,93.86667
10,2010,18,25.73333,73.61667
10,2010,20,19,81
10,2010,20,24.225,76.525
10,2010,20,22.37778,71.42722
10,2010,21,14.88333,75.6
10,2010,21,32.23333,76.46667
10,2010,21,37.35172,27.32997
10,2010,22,-33.75,18.56667
10,2010,23,-31.88333,-60.46667
10,2011,00,-7.5,111.5
10,2011,01,12.73333,15.05
10,2011,02,36.95,9.55
10,2011,10,23.5,90.33333
10,2011,14,50.75,25.3
10,2011,14,40,29
10,2011,15,45.5,119.03333
10,2011,18,21.86667,82.45
10,2011,19,32.91667,120.78333
10,2011,19,51.2,112.3
10,2011,20,13.05,3.16667
10,2011,20,32.33333,-6.3
10,2011,21,-13.66667,33.91667
10,2011,21,36.4,-86.5
10,2011,21,42.52,-82.26
10,2011,23,42.45833,18.44167
10,2012,10,-31.66667,152.83333
10,2012,15,52.55,-8.03333
10,2012,18,30.3,76.63333
10,2012,19,-4,39.5
10,2012,19,33.43333,127.26667
10,2012,19,-27.2,31.31667
10,2012,20,26.25,82
10,2012,20,-3,151
10,2012,20,40.78167,-96.47167
10,2012,20,-17.3,15.83333
10,2012,20,56.03333,13
10,2012,20,28.26667,78.78333
10,2012,20,34.41667,3.25
10,2012,20,25.37,-97.37
10,2012,20,19.96722,-103.05167
10,2012,21,39.24667,-104.58817
10,2012,21,47.83333,37.66667
10,2012,21,51.75,4
10,2012,23,-29.46667,151.61667
10,2012,23,30.3,109.5
10,2013,00,48.18333,6.46667
10,2013,02,19.03333,81.89167
10,2013,05,40.3,44.5
10,2013,17,1.16667,44.16667
10,2013,17,52.21667,11.25
10,2013,19,46.25,-1.1
10,2013,19,2.88333,30.83333
10,2013,19,43.41667,-94.83333
10,2013,19,39.75,-97.03333
10,2013,20,35.55,-77.53333
10,2013,20,44.38333,2.81667
10,2013,20,36.05,-94.16667
10,2013,20,36.88333,8.45
10,2013,20,32.53333,-87.16667
10,2013,20,34.6,116.75
10,2013,21,36.1,-81.41667
10,2013,21,43.18111,13.75333
10,1973,16,47.81667,-96.85
10,1978,23,30.83333,-97.76667
10,1986,20,43.25,-93.66667
10,1987,21,-33.35,146.85833
10,1987,23,36.78333,-78.08333
10,1989,21,50.95,7.31667
10,1989,21,33.01667,-83.96667
10,1992,10,34.48333,-87.83333
10,1994,02,31.47556,113.56694
10,1994,04,33.18333,130.2
10,1995,18,25.95,80.81667
10,1995,20,32.9,115.9
10,1996,22,44.3,0.4
10,1997,22,7.05,12.43333
10,1998,02,7.05,12.43333
10,1998,14,51.68333,30.78333
10,1998,14,27.35,68.53333
10,1998,20,27.88333,68.53333
10,1998,22,41.68333,-112.13333
10,1998,22,12.85,11.03333
10,1999,00,12.91667,11.91667
10,1999,04,35.53333,136.88333
10,1999,06,37.31667,13.56667
10,1999,07,9.6,9.91667
10,1999,09,52.2,6.86667
10,1999,18,-7.25,107.7
10,1999,20,57.35,37.61667
10,1999,20,52.45972,-0.3
10,1999,20,50.66667,16.76667
10,1999,20,24.23333,89.05
10,1999,20,48.28333,38.08333
10,1999,21,42.9,2.25
10,1999,21,60.66667,11
10,1999,21,43.2,-79.61667
10,1999,21,43.66667,45.38333
10,1999,21,49.26667,18.71667
10,1999,22,46.35,30.58333
10,1999,22,51.93333,15.5
10,2000,19,52.86667,16.63333
10,2000,20,-33,-58.61667
10,2000,22,39.80417,122.76389
10,2000,22,37.1,118.4
10,2000,23,38.73333,-6.01667
10,2001,01,43.76667,20.23333
10,2001,02,13.5,-0.68333
10,2001,05,9.91667,13.98333
10,2001,08,22.98333,76.05
10,2001,20,11.49167,11.65833
10,2001,23,42.9,24.7
10,2002,06,13.78333,78.56667
10,2002,13,9.36667,42.41667
10,2002,16,51.91667,8.38333
10,2002,20,35,127.5
10,2003,00,35.65,139.33333
10,2003,00,50.31667,3.73333
10,2003,01,57.81667,16.23333
10,2003,03,41.38333,-86.6
10,2003,07,26.8,82.53333
10,2003,11,28.38333,75.78333
10,2003,13,32.675,-94.51167
10,2003,19,38.25,-86.16667
10,2003,20,35.2945,136.70033
10,2003,20,28.95,0.81667
10,2003,22,60.24556,22.06194
10,2004,01,55.46667,13.78333
10,2004,02,27.33333,35.66667
10,2004,03,10,-84.1
10,2004,04,59.85,17.66667
10,2004,05,33.6,130.43333
10,2004,10,55.9,-4.23333
10,2004,11,34.45,132.38333
10,2004,14,1.345,31.47278
10,2004,18,64.43333,21.2
10,2004,19,34.9,-110.18333
10,2004,22,9.06667,38.41667
10,2004,23,41.8,-91.86667
10,2004,23,21.3,-157.86667
10,2005,00,35.66667,115.5
10,2005,00,39.35,-100.45
10,2005,03,26.46469,106.63241
10,2005,03,50.3,8.91667
10,2005,16,61.18333,22.68333
10,2005,16,52.28333,7.7
10,2005,18,-20,-45
10,2005,18,58.2,82.93333
10,2005,19,-32.1,28.33333
10,2005,19,-23.2,-51.83333
10,2005,19,-6.03333,145.36667
10,2005,19,39.75,46.66667
10,2005,21,39.08333,-94.4
10,2005,21,41,112
10,2005,21,53.415,-111.3375
10,2006,01,-25.5,-54.5
10,2006,02,-8.93333,33.8
10,2006,05,-31.18333,-57.95
10,2006,09,-3.4,-44.33333
10,2006,11,26.59083,-12.95217
10,2006,19,-8.41667,32.43333
10,2006,19,-32.5,21.9
10,2006,20,26.75,68.41667
10,2006,21,18.75,75.33333
10,2006,21,39.7,105.8
10,2006,21,43.83333,20.44167
10,2006,22,46.42137,14.05217
10,2006,23,31.3,72.38333
10,2006,24,31.91667,104.91667
10,2007,04,30.80833,109.5
10,2007,10,44.05,126.16667
10,2007,16,22.68,70.31333
10,2007,19,55.7,24.4
10,2007,19,40.35,-104.9
10,2007,20,-11.85,15.83333
10,2007,20,45.43333,-0.45
10,2007,23,35.5,115.41667
10,2008,00,12.85,76.8
10,2008,04,-7.71667,111.2
10,2008,06,35.2,118.8
10,2008,13,38.74028,-7.27
10,2008,17,44.71667,4.3
10,2008,19,47.35,21.3
10,2008,19,11.85,8.21667
10,2008,19,27.08333,78.33333
10,2008,19,27.25,79.96667
10,2008,20,49.86667,30.83333
10,2008,20,15,48.3
10,2008,22,55.43333,53.25
10,2008,22,12.38333,78.51667
10,2009,00,45.13333,21.66667
10,2009,02,-6.83333,29.5
10,2009,04,17.83333,73.98333
10,2009,04,26.03333,81.46667
10,2009,09,36.04167,139.95667
10,2009,12,14.18333,75.8
10,2009,18,31.6,65.78333
10,2009,18,-7,115.5
10,2009,19,32.08333,76.3
10,2009,19,4.7,33.63333
10,2009,21,20.33916,73.22329
10,2010,00,42.45,73.36667
10,2010,04,47.21667,81.01667
10,2010,04,-3.5,35.58333
10,2010,06,12.9,7.15
10,2010,12,27.8,67.16667
10,2010,19,31.58333,71.6
10,2010,20,-35.08333,139.91667
10,2010,20,35.36667,136.76667
10,2010,21,29.58333,77.58333
10,2010,23,11.33333,10.08333
10,2011,03,25.14333,75.81333
10,2011,08,39.26333,31.78
10,2011,15,-7.75,112.01667
10,2011,19,36.54194,29.41822
10,2011,19,29.45,-96
10,2011,21,20.4625,86.70278
10,2011,21,48.4,-3.3
10,2011,23,48.11667,-3.08333
10,2012,01,38.98333,141.61667
10,2012,02,29.53333,72.3
10,2012,04,25.55,83.11667
10,2012,07,26.95,77.88333
10,2012,08,28.01667,75.81667
10,2012,19,56.75,75.33333
10,2012,19,25.1,81.53333
10,2012,19,16,36
10,2012,20,14,28
10,2012,20,54.4,10.15
10,2012,20,16.58333,-11.33333
10,2012,21,36.85,138.38333
10,2012,21,55,34
10,2012,22,12.76667,9.8
10,2013,01,43.58333,-89.6
10,2013,03,54.66667,-7.66667
10,2013,06,11.63333,24.68333
10,2013,09,30.75,-95.95
10,2013,16,48.16667,22.30833
10,2013,16,43.38333,-80.38333
10,2013,19,51.6,10.8
10,2013,19,48.9,22.4
10,2013,19,34.73333,135.16667
10,2013,20,34.3,133.95
10,2013,20,35.73333,139.75
10,2013,20,42.51667,26.16667
10,2013,20,48.76367,21.17633
10,2013,20,49.32694,7.46472
10,2013,20,54.03333,40.9
10,2013,20,54.33333,56.08333
